982 1103
266 66 30
335 336 30
337 338 6
339 340 25
340 341 14
341 342 22
343 344 21
345 346 77
347 348 9
348 349 21
350 351 8
351 352 4
351 353 14
3 338 12
338 354 9
355 356 34
357 358 17
359 360 53
344 361 58
294 362 22
355 6 11
363 364 25
343 365 77
365 7 17
366 367 43
367 295 15
294 8 12
368 9 32
343 369 30
369 370 23
371 372 9
372 373 12
374 375 9
376 377 14
378 379 9
18 19 16
339 366 15
366 9 6
9 380 15
347 381 20
22 367 23
26 382 5
28 383 9
28 384 17
385 386 6
380 387 20
388 278 42
278 389 6
389 363 4
372 390 14
391 31 17
392 393 20
19 392 18
392 384 25
384 394 17
272 395 30
261 396 12
396 397 14
340 398 58
4 399 15
400 34 15
34 401 10
402 403 5
404 405 14
406 407 32
400 408 25
354 37 15
409 357 2
357 280 7
352 345 11
345 410 13
38 411 4
411 39 25
39 401 18
412 374 15
374 413 36
40 414 31
38 415 14
414 375 49
416 40 10
403 417 11
417 286 3
286 385 7
348 418 9
419 42 17
420 359 11
359 421 16
422 43 10
20 423 43
424 425 7
426 427 11
427 428 6
427 429 20
430 428 23
431 263 18
263 388 27
44 347 14
432 401 3
432 433 22
434 47 16
371 435 15
15 436 22
391 437 9
438 439 5
37 440 8
280 441 15
442 443 17
271 50 5
444 445 23
63 419 88
409 446 30
284 26 4
26 416 25
416 447 13
274 286 12
422 37 21
448 449 33
3 450 12
451 452 50
441 453 17
453 454 7
455 456 7
457 458 26
441 459 11
453 460 11
461 462 23
463 464 6
8 368 10
428 395 16
465 466 56
467 468 34
467 469 12
470 471 10
472 424 12
291 473 51
474 475 8
475 124 2
476 477 34
292 478 7
479 480 18
481 482 10
482 86 5
483 484 6
485 304 19
486 487 31
488 489 35
490 491 32
92 492 5
493 494 21
93 495 55
495 496 21
497 498 22
498 499 27
500 501 15
95 96 128
502 503 5
503 504 5
504 495 37
504 306 8
505 506 15
507 508 9
509 99 58
101 510 18
511 512 10
512 513 14
514 515 8
515 103 11
493 516 15
517 518 13
518 519 36
520 297 6
521 522 27
297 522 19
523 524 28
525 526 20
520 527 12
528 510 23
529 530 33
531 103 12
103 532 9
533 505 15
500 534 37
534 535 14
534 536 11
95 105 12
105 505 11
505 537 9
518 538 12
538 539 29
540 541 16
483 542 18
516 543 47
108 476 12
107 544 13
544 301 6
545 546 15
85 547 8
547 548 14
549 111 13
523 550 12
550 551 7
551 515 16
113 304 13
552 85 32
553 554 9
555 303 23
556 557 43
558 559 7
559 560 9
560 114 19
561 501 11
501 562 36
562 563 18
563 564 15
559 565 4
566 567 18
511 568 36
568 512 13
568 569 8
500 496 14
570 540 42
540 491 57
491 571 22
507 430 10
572 573 16
92 574 16
305 118 14
503 575 12
576 577 16
578 579 15
538 580 7
301 581 11
549 582 14
561 583 11
571 584 91
585 586 34
585 587 27
475 588 3
126 125 3
589 590 68
93 591 16
485 592 7
521 593 38
594 595 5
595 525 8
570 596 41
596 597 19
597 556 23
598 528 12
528 529 41
599 448 38
600 601 47
602 603 24
604 300 29
572 605 16
605 550 33
550 514 14
588 606 13
607 608 15
609 610 87
90 151 23
112 611 14
612 613 16
88 614 9
615 616 6
617 618 56
619 620 25
578 317 9
506 621 10
622 623 20
618 624 7
619 625 21
626 627 36
628 629 18
506 97 6
79 630 16
145 631 6
149 632 3
633 634 8
146 635 12
636 637 10
469 638 8
639 554 1
640 641 8
642 643 26
157 158 9
473 600 8
644 645 5
645 646 20
479 647 6
648 649 7
649 650 19
647 651 5
651 652 14
651 653 11
654 655 14
656 657 43
657 658 4
658 659 7
659 660 9
660 661 50
237 662 24
161 663 17
163 664 14
233 665 29
666 661 57
667 668 38
643 165 33
669 670 19
657 671 11
672 673 18
672 674 14
156 675 11
675 667 28
676 677 6
677 678 11
679 680 11
680 681 5
325 169 5
682 683 22
684 685 25
686 687 18
176 177 22
688 689 51
690 691 19
179 692 9
692 693 12
693 694 11
695 696 7
697 698 61
188 699 41
699 189 15
190 700 8
184 193 26
701 702 13
703 194 66
198 704 25
199 705 24
706 707 19
708 709 147
162 710 8
711 201 35
201 712 23
678 713 11
678 714 12
679 715 5
648 716 16
675 717 10
718 719 85
671 720 7
655 649 20
721 320 16
200 722 8
723 234 15
240 724 4
724 672 11
725 726 7
682 679 5
169 727 6
334 243 10
253 728 7
729 730 49
730 731 47
730 732 102
733 734 90
336 337 7
344 376 9
376 365 3
0 351 18
1 2 10
2 3 3
354 261 11
261 4 9
4 476 10
432 262 12
263 355 17
360 461 8
344 5 75
6 363 5
7 366 7
735 736 30
736 10 15
6 11 24
369 12 64
12 737 28
737 13 20
13 738 29
370 371 5
372 14 7
411 15 7
15 374 15
376 378 35
13 16 16
16 17 6
17 18 10
339 19 6
5 380 6
5 282 24
9 361 8
20 264 15
264 739 25
733 381 5
733 10 16
10 265 47
381 266 16
740 21 2
10 740 12
741 742 12
742 743 6
742 447 16
742 23 10
24 25 10
25 744 9
18 27 8
27 28 12
267 385 19
386 745 3
368 380 31
737 29 7
29 30 5
30 391 1
31 32 3
32 746 13
746 268 39
33 269 5
261 270 6
4 747 22
4 748 15
386 271 28
272 271 15
272 400 8
1 403 4
1 35 4
35 36 10
12 407 24
354 273 6
352 749 5
410 38 7
415 41 4
414 41 12
743 40 9
743 442 3
23 442 9
23 750 6
267 750 3
417 274 19
359 42 18
346 42 4
346 39 13
745 43 11
745 751 1
20 751 25
752 753 6
426 472 1
430 754 6
752 754 16
752 468 7
755 756 1
263 756 48
388 44 2
370 45 14
446 455 6
46 757 7
757 434 10
47 275 2
736 275 15
338 276 13
7 377 27
434 758 15
758 48 4
48 759 15
758 277 33
2 760 13
49 761 33
278 762 7
31 763 12
746 279 9
50 439 14
405 463 13
29 407 34
280 764 31
39 765 30
415 766 24
41 51 21
750 465 1
449 52 51
52 767 86
751 53 26
424 54 8
754 467 1
44 768 22
769 281 33
733 55 2
55 770 11
50 438 4
285 451 12
771 56 5
757 772 1
56 57 21
35 773 8
389 58 9
59 60 9
42 420 8
34 774 11
0 350 9
772 283 17
46 775 14
30 406 9
32 776 8
18 777 15
16 778 13
26 779 24
410 59 12
0 780 6
740 55 14
772 61 31
27 781 18
17 782 22
444 431 9
431 445 18
783 784 2
784 785 1
785 786 3
786 787 1
787 788 2
783 788 1
771 62 36
771 63 33
409 63 88
749 446 1
749 789 27
789 790 1
349 790 11
349 284 19
447 791 1
738 64 11
738 570 43
24 449 54
741 792 4
741 65 3
285 65 5
274 285 14
36 286 16
36 422 1
396 37 15
396 748 9
445 783 5
786 792 6
785 791 3
735 790 3
755 793 3
445 794 1
793 794 1
