40 95
11 16 4
12 16 2
12 17 2
12 18 6
13 14 4
14 15 3
16 17 5
16 19 6
17 18 4
17 21 6
19 20 2
19 22 3
20 21 1
20 23 3
21 24 1
22 23 2
23 24 2
25 26 4
25 32 5
25 33 5
26 27 3
26 33 3
27 34 10
28 29 3
28 35 4
29 30 3
29 36 3
30 31 5
30 36 5
30 37 4
31 38 2
32 33 3
33 34 6
34 35 6
35 36 4
36 37 2
37 38 7
0 1 2
0 5 3
0 7 4
0 9 8
0 10 3
0 32 4
0 34 4
0 39 4
1 2 5
1 5 2
1 35 3
2 3 2
2 6 2
2 36 4
3 4 3
3 37 3
4 38 2
5 6 4
5 11 2
6 12 1
7 8 5
7 13 7
7 39 5
8 9 2
8 14 2
9 15 4
10 11 7
10 15 3
11 12 6
1 0 2
5 0 3
7 0 4
9 0 8
10 0 3
32 0 4
34 0 4
39 0 4
2 1 5
5 1 2
35 1 3
3 2 2
6 2 2
36 2 4
4 3 3
37 3 3
38 4 2
6 5 4
11 5 2
12 6 1
8 7 5
13 7 7
39 7 5
9 8 2
14 8 2
15 9 4
11 10 7
15 10 3
12 11 6
